config,corpus,mode,query,merge,drop_structural,rerank,fusion_w,cite_filter,state_share,two_hop,gold_set,k,recall,cases_with_hit,state_recall,hits,gold,structural,seconds,ls_depth,ls_kinds
ls_shallow10,combined,hybrid,rewriter,rrf,True,,,,,first,gold,50,0.1673012851023322,1.0,0.1408364083640836,703,4202,0.0,81.8,10.0,
ls_shallow10,combined,hybrid,rewriter,rrf,True,,,,,first,gold,100,0.206806282722513,1.0,0.1980319803198032,869,4202,0.0,81.8,10.0,
ls_amtlich,combined,hybrid,rewriter,rrf,True,,,,,first,refex,5,0.0291493158834027,0.4155844155844156,0.0,49,1681,0.0,99.9,,"('amtlich',)"
ls_amtlich,combined,hybrid,rewriter,rrf,True,,,,,first,refex,10,0.039857227840571,0.4805194805194805,0.0,67,1681,0.0,99.9,,"('amtlich',)"
ls_amtlich,combined,hybrid,rewriter,rrf,True,,,,,first,refex,20,0.065437239738251,0.6883116883116883,0.0,110,1681,0.0,99.9,,"('amtlich',)"
ls_amtlich,combined,hybrid,rewriter,rrf,True,,,,,first,refex,50,0.1070791195716835,0.8311688311688312,0.0,180,1681,0.0,99.9,,"('amtlich',)"
ls_amtlich,combined,hybrid,rewriter,rrf,True,,,,,first,refex,100,0.1332540154669839,0.8701298701298701,0.0,224,1681,0.0,99.9,,"('amtlich',)"
ls_amtlich,combined,hybrid,rewriter,rrf,True,,,,,first,gold,5,0.0214183722037125,0.6049382716049383,0.0104551045510455,90,4202,0.0,99.9,,"('amtlich',)"
ls_amtlich,combined,hybrid,rewriter,rrf,True,,,,,first,gold,10,0.0385530699666825,0.6790123456790124,0.027060270602706,162,4202,0.0,99.9,,"('amtlich',)"
ls_amtlich,combined,hybrid,rewriter,rrf,True,,,,,first,gold,20,0.06282722513089,0.8888888888888888,0.047970479704797,264,4202,0.0,99.9,,"('amtlich',)"
ls_amtlich,combined,hybrid,rewriter,rrf,True,,,,,first,gold,50,0.1199428843407901,0.9876543209876544,0.1125461254612546,504,4202,0.0,99.9,,"('amtlich',)"
ls_amtlich,combined,hybrid,rewriter,rrf,True,,,,,first,gold,100,0.1544502617801047,0.9876543209876544,0.1611316113161131,649,4202,0.0,99.9,,"('amtlich',)"
cite_ls_search,combined,hybrid,rewriter,rrf,True,,,first,,first,refex,5,0.07019631171921475,0.6883116883116883,0.0,118,1681,0.0,83.8,,
cite_ls_search,combined,hybrid,rewriter,rrf,True,,,first,,first,refex,10,0.13146936347412255,0.8311688311688312,0.0,221,1681,0.0,83.8,,
cite_ls_search,combined,hybrid,rewriter,rrf,True,,,first,,first,refex,20,0.17965496728138014,0.9090909090909091,0.0,302,1681,0.0,83.8,,
cite_ls_search,combined,hybrid,rewriter,rrf,True,,,first,,first,refex,50,0.2498512790005949,0.9090909090909091,0.0,420,1681,0.0,83.8,,
cite_ls_search,combined,hybrid,rewriter,rrf,True,,,first,,first,refex,100,0.2879238548483046,0.935064935064935,0.0,484,1681,0.0,83.8,,
cite_ls_search,combined,hybrid,rewriter,rrf,True,,,first,,first,gold,5,0.05854355069014755,0.9506172839506173,0.023370233702337023,246,4202,0.0,83.8,,
cite_ls_search,combined,hybrid,rewriter,rrf,True,,,first,,first,gold,10,0.10209424083769633,0.9876543209876543,0.04120541205412054,429,4202,0.0,83.8,,
cite_ls_search,combined,hybrid,rewriter,rrf,True,,,first,,first,gold,20,0.14826273203236554,1.0,0.07995079950799508,623,4202,0.0,83.8,,
cite_ls_search,combined,hybrid,rewriter,rrf,True,,,first,,first,gold,50,0.2270347453593527,1.0,0.15006150061500614,954,4202,0.0,83.8,,
cite_ls_search,combined,hybrid,rewriter,rrf,True,,,first,,first,gold,100,0.286292241789624,1.0,0.23247232472324722,1203,4202,0.0,83.8,,
