index,rank,short,med
58,8,claude-opus-5,90.0
59,48,claude-opus-5,70.0
60,66,claude-opus-5,60.0
61,29,claude-opus-5,70.0
62,64,claude-opus-5,60.0
63,71,claude-opus-5,60.0
64,21,claude-opus-5,100.0
65,68,claude-opus-5,60.0
66,70,claude-opus-5,30.0
67,38,claude-opus-5,100.0
68,23,claude-opus-5,90.0
69,78,claude-opus-5,30.0
70,69,claude-opus-5,30.0
71,73,claude-opus-5,90.0
72,40,claude-opus-5,100.0
73,5,claude-opus-5,90.0
74,63,claude-opus-5,40.0
75,45,claude-opus-5,80.0
76,3,claude-opus-5,90.0
77,27,claude-opus-5,90.0
78,62,claude-opus-5,60.0
79,46,claude-opus-5,80.0
80,12,claude-opus-5,90.0
