model,index,no_rag,dense,bm25,roundrobin,rrf,rerank,cite_only,cite_rrf,rrf50,cite_rrf50,cite_ls_rrf50,oracle,ls_text
Qwen3.6-35B-A3B,9,15.384615384615383,23.07692307692308,20.51282051282051,12.82051282051282,17.94871794871795,28.205128205128204,15.384615384615383,23.07692307692308,25.64102564102564,23.07692307692308,20.51282051282051,30.76923076923077,25.64102564102564
Qwen3.6-35B-A3B,10,25.0,25.0,25.0,29.166666666666668,37.5,29.166666666666668,25.0,20.833333333333336,29.166666666666668,25.0,25.0,29.166666666666668,16.666666666666664
Qwen3.6-35B-A3B,11,14.285714285714285,19.642857142857142,16.071428571428573,14.285714285714285,16.071428571428573,10.714285714285714,19.642857142857142,14.285714285714285,14.285714285714285,17.857142857142858,19.642857142857142,23.214285714285715,16.071428571428573
Qwen3.6-35B-A3B,12,27.58620689655172,17.24137931034483,3.4482758620689653,27.58620689655172,31.03448275862069,27.58620689655172,17.24137931034483,27.58620689655172,24.13793103448276,20.6896551724138,24.13793103448276,24.13793103448276,13.793103448275861
Qwen3.6-35B-A3B,13,6.451612903225806,9.67741935483871,12.903225806451612,8.064516129032258,8.064516129032258,9.67741935483871,9.67741935483871,12.903225806451612,9.67741935483871,17.741935483870968,14.516129032258066,27.41935483870968,8.064516129032258
Qwen3.6-35B-A3B,14,10.20408163265306,16.3265306122449,16.3265306122449,14.285714285714285,18.367346938775512,16.3265306122449,10.20408163265306,8.16326530612245,16.3265306122449,12.244897959183673,22.448979591836736,26.53061224489796,6.122448979591836
Qwen3.6-35B-A3B,15,18.51851851851852,14.814814814814811,24.07407407407408,18.51851851851852,18.51851851851852,20.37037037037037,20.37037037037037,18.51851851851852,25.925925925925924,18.51851851851852,20.37037037037037,48.14814814814815,20.37037037037037
Qwen3.6-35B-A3B,16,39.39393939393939,39.39393939393939,24.24242424242424,24.24242424242424,27.27272727272727,30.303030303030305,42.42424242424242,30.303030303030305,27.27272727272727,33.33333333333333,24.24242424242424,33.33333333333333,33.33333333333333
Qwen3.6-35B-A3B,17,20.833333333333336,14.583333333333334,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,8.333333333333332,12.5,22.916666666666664,16.666666666666664,20.833333333333336,37.5,10.416666666666668
Qwen3.6-35B-A3B,18,1.6666666666666667,5.0,11.666666666666666,6.666666666666667,15.0,11.666666666666666,8.333333333333332,15.0,16.666666666666664,15.0,13.333333333333334,36.66666666666666,15.0
Qwen3.6-35B-A3B,19,21.428571428571427,19.047619047619047,14.285714285714285,21.428571428571427,16.666666666666664,16.666666666666664,19.047619047619047,26.1904761904762,23.809523809523807,23.809523809523807,23.809523809523807,52.38095238095239,14.285714285714285
Qwen3.6-35B-A3B,20,24.324324324324326,21.62162162162162,27.027027027027028,29.72972972972973,29.72972972972973,18.91891891891892,24.324324324324326,24.324324324324326,27.027027027027028,27.027027027027028,35.13513513513514,45.94594594594595,35.13513513513514
Qwen3.6-35B-A3B,21,19.23076923076924,19.23076923076924,21.15384615384616,28.846153846153843,25.0,21.15384615384616,21.15384615384616,25.0,23.07692307692308,28.846153846153843,30.76923076923077,40.38461538461539,21.153846153846153
Qwen3.6-35B-A3B,22,9.230769230769232,12.307692307692308,12.307692307692308,10.76923076923077,16.923076923076923,15.384615384615383,13.846153846153848,12.307692307692308,12.307692307692308,12.307692307692308,13.846153846153848,30.76923076923077,15.384615384615385
Qwen3.6-35B-A3B,23,19.148936170212767,27.659574468085108,21.27659574468085,17.02127659574468,23.404255319148938,29.78723404255319,25.53191489361702,34.04255319148936,36.17021276595745,21.27659574468085,25.53191489361702,48.93617021276596,29.78723404255319
Qwen3.6-35B-A3B,24,10.526315789473683,17.543859649122805,14.035087719298245,17.543859649122805,14.035087719298245,14.035087719298245,14.035087719298245,17.543859649122805,14.035087719298245,24.561403508771928,21.052631578947366,33.33333333333333,17.543859649122805
Qwen3.6-35B-A3B,25,15.384615384615383,19.23076923076924,26.923076923076923,25.0,25.0,19.23076923076924,11.538461538461538,17.307692307692307,34.61538461538461,21.15384615384616,15.384615384615383,48.07692307692308,15.384615384615385
Qwen3.6-35B-A3B,26,11.475409836065571,16.39344262295082,19.672131147540984,21.311475409836063,19.672131147540984,18.0327868852459,11.475409836065571,9.836065573770492,18.0327868852459,18.0327868852459,19.672131147540984,34.42622950819672,14.754098360655737
Qwen3.6-35B-A3B,27,12.727272727272728,14.545454545454543,12.727272727272728,10.909090909090908,14.545454545454543,14.545454545454543,9.090909090909092,10.909090909090908,16.363636363636363,5.454545454545454,14.545454545454543,38.18181818181819,14.545454545454545
Qwen3.6-35B-A3B,28,9.75609756097561,17.073170731707318,4.878048780487805,7.317073170731707,12.195121951219512,7.317073170731707,9.75609756097561,9.75609756097561,12.195121951219512,7.317073170731707,17.073170731707318,21.951219512195124,12.195121951219512
Qwen3.6-35B-A3B,29,50.0,55.00000000000001,55.00000000000001,45.0,35.0,55.00000000000001,70.0,35.0,60.0,45.0,55.00000000000001,60.0,40.0
Qwen3.6-35B-A3B,30,20.0,20.0,25.0,20.0,20.0,30.0,15.0,10.0,20.0,25.0,20.0,35.0,15.0
Qwen3.6-35B-A3B,31,19.047619047619047,16.666666666666664,21.428571428571427,21.428571428571427,19.047619047619047,19.047619047619047,19.047619047619047,19.047619047619047,23.809523809523807,23.809523809523807,23.809523809523807,50.0,16.666666666666664
Qwen3.6-35B-A3B,32,11.475409836065571,11.475409836065571,13.114754098360656,13.114754098360656,6.557377049180328,13.114754098360656,11.475409836065571,9.836065573770492,14.754098360655735,14.754098360655735,16.39344262295082,27.86885245901639,11.475409836065573
Qwen3.6-35B-A3B,33,8.333333333333332,8.333333333333332,6.25,12.5,10.416666666666668,12.5,6.25,10.416666666666668,14.583333333333334,10.416666666666668,10.416666666666668,35.41666666666667,12.5
Qwen3.6-35B-A3B,34,5.128205128205128,5.128205128205128,10.256410256410255,7.6923076923076925,5.128205128205128,5.128205128205128,5.128205128205128,2.564102564102564,10.256410256410255,10.256410256410255,10.256410256410255,41.02564102564102,20.51282051282051
Qwen3.6-35B-A3B,35,14.285714285714285,14.285714285714285,17.857142857142858,16.071428571428573,14.285714285714285,16.071428571428573,21.428571428571427,25.0,17.857142857142858,14.285714285714285,16.071428571428573,26.785714285714285,19.642857142857142
Qwen3.6-35B-A3B,36,4.166666666666666,8.333333333333332,6.25,10.416666666666668,10.416666666666668,22.916666666666664,4.166666666666666,4.166666666666666,16.666666666666664,8.333333333333332,18.75,37.5,8.333333333333332
Qwen3.6-35B-A3B,37,12.76595744680851,11.702127659574469,15.95744680851064,9.574468085106384,8.51063829787234,9.574468085106384,9.574468085106384,11.702127659574469,9.574468085106384,13.829787234042554,10.638297872340424,25.53191489361702,12.76595744680851
Qwen3.6-35B-A3B,38,5.769230769230769,13.461538461538462,9.615384615384617,5.769230769230769,7.6923076923076925,5.769230769230769,9.615384615384617,5.769230769230769,13.461538461538462,5.769230769230769,21.15384615384616,40.38461538461539,11.538461538461538
Qwen3.6-35B-A3B,39,24.13793103448276,27.58620689655172,17.24137931034483,31.03448275862069,31.03448275862069,31.03448275862069,24.13793103448276,27.58620689655172,37.93103448275862,20.6896551724138,34.48275862068966,31.03448275862069,31.03448275862069
Qwen3.6-35B-A3B,40,13.750000000000002,16.25,13.750000000000002,17.5,20.0,16.25,11.25,16.25,16.25,16.25,13.750000000000002,32.5,15.0
Qwen3.6-35B-A3B,41,25.53191489361702,17.02127659574468,21.27659574468085,21.27659574468085,19.148936170212767,14.893617021276595,25.53191489361702,14.893617021276595,25.53191489361702,27.659574468085108,31.91489361702128,38.297872340425535,25.53191489361702
Qwen3.6-35B-A3B,42,18.51851851851852,5.555555555555555,14.814814814814811,16.666666666666664,18.51851851851852,18.51851851851852,22.22222222222222,14.814814814814811,24.07407407407408,22.22222222222222,20.37037037037037,38.88888888888889,24.074074074074073
Qwen3.6-35B-A3B,43,11.428571428571429,14.285714285714285,22.857142857142858,18.571428571428573,15.714285714285714,17.142857142857142,12.857142857142856,14.285714285714285,24.285714285714285,15.714285714285714,25.71428571428571,40.0,15.714285714285714
Qwen3.6-35B-A3B,44,43.333333333333336,40.0,36.66666666666666,36.66666666666666,40.0,46.66666666666666,36.66666666666666,33.33333333333333,36.66666666666666,40.0,33.33333333333333,46.66666666666666,40.0
Qwen3.6-35B-A3B,45,6.25,9.375,6.25,6.25,12.5,9.375,9.375,12.5,28.125,21.875,25.0,40.625,21.875
Qwen3.6-35B-A3B,46,22.807017543859647,24.561403508771928,19.29824561403509,28.07017543859649,19.29824561403509,14.035087719298245,24.561403508771928,22.807017543859647,21.052631578947366,21.052631578947366,22.807017543859647,50.877192982456144,22.807017543859647
Qwen3.6-35B-A3B,47,15.384615384615383,15.384615384615383,10.76923076923077,12.307692307692308,10.76923076923077,18.461538461538463,15.384615384615383,12.307692307692308,18.461538461538463,16.923076923076923,18.461538461538463,50.76923076923077,18.461538461538463
Qwen3.6-35B-A3B,48,20.0,28.88888888888889,8.88888888888889,20.0,13.333333333333334,20.0,20.0,13.333333333333334,20.0,22.22222222222222,20.0,48.888888888888886,26.666666666666668
Qwen3.6-35B-A3B,49,31.91489361702128,29.78723404255319,42.5531914893617,34.04255319148936,34.04255319148936,34.04255319148936,34.04255319148936,38.297872340425535,31.91489361702128,40.42553191489361,34.04255319148936,51.06382978723404,36.17021276595745
Qwen3.6-35B-A3B,50,14.754098360655735,18.0327868852459,8.19672131147541,13.114754098360656,16.39344262295082,19.672131147540984,24.59016393442623,14.754098360655735,18.0327868852459,14.754098360655735,19.672131147540984,34.42622950819672,18.0327868852459
Qwen3.6-35B-A3B,51,17.741935483870968,17.741935483870968,16.129032258064516,19.35483870967742,17.741935483870968,14.516129032258066,17.741935483870968,16.129032258064516,9.67741935483871,24.193548387096776,16.129032258064516,30.64516129032258,17.741935483870968
Qwen3.6-35B-A3B,52,18.91891891891892,18.91891891891892,24.324324324324326,18.91891891891892,21.62162162162162,13.513513513513514,27.027027027027028,24.324324324324326,18.91891891891892,32.432432432432435,32.432432432432435,43.24324324324324,16.216216216216218
Qwen3.6-35B-A3B,53,11.11111111111111,9.523809523809524,11.11111111111111,9.523809523809524,14.285714285714285,12.698412698412698,15.873015873015872,12.698412698412698,11.11111111111111,11.11111111111111,15.873015873015872,33.33333333333333,14.285714285714285
Qwen3.6-35B-A3B,54,13.402061855670103,13.402061855670103,19.587628865979383,19.587628865979383,17.525773195876287,17.525773195876287,13.402061855670103,17.525773195876287,17.525773195876287,18.55670103092784,18.55670103092784,29.89690721649485,14.432989690721648
Qwen3.6-35B-A3B,55,16.129032258064516,8.064516129032258,12.903225806451612,8.064516129032258,19.35483870967742,11.29032258064516,12.903225806451612,20.967741935483872,12.903225806451612,11.29032258064516,19.35483870967742,35.483870967741936,11.29032258064516
Qwen3.6-35B-A3B,56,14.473684210526317,10.526315789473683,10.526315789473683,14.473684210526317,14.473684210526317,10.526315789473683,11.842105263157894,17.105263157894736,15.789473684210526,15.789473684210526,15.789473684210526,31.57894736842105,14.473684210526317
Qwen3.6-35B-A3B,57,14.285714285714285,9.523809523809524,14.285714285714285,14.285714285714285,11.904761904761903,11.904761904761903,9.523809523809524,14.285714285714285,9.523809523809524,14.285714285714285,11.904761904761903,30.95238095238096,11.904761904761903
Qwen3.6-35B-A3B,58,11.594202898550725,15.942028985507244,14.492753623188406,13.043478260869565,13.043478260869565,15.942028985507244,11.594202898550725,13.043478260869565,20.28985507246377,15.942028985507244,15.942028985507244,34.78260869565217,14.492753623188406
Qwen3.6-35B-A3B,59,16.666666666666664,16.666666666666664,11.666666666666666,21.666666666666668,8.333333333333332,10.0,15.0,18.33333333333333,15.0,15.0,10.0,35.0,13.333333333333334
Qwen3.6-35B-A3B,60,8.571428571428571,10.0,15.714285714285714,8.571428571428571,11.428571428571429,12.857142857142856,8.571428571428571,7.142857142857142,11.428571428571429,11.428571428571429,12.857142857142856,31.428571428571427,10.0
Qwen3.6-35B-A3B,61,21.15384615384616,25.0,23.07692307692308,26.923076923076923,26.923076923076923,23.07692307692308,21.15384615384616,23.07692307692308,23.07692307692308,15.384615384615383,17.307692307692307,32.69230769230769,23.076923076923077
Qwen3.6-35B-A3B,62,11.363636363636363,22.727272727272727,11.363636363636363,20.454545454545457,20.454545454545457,31.818181818181817,15.909090909090908,15.909090909090908,18.181818181818183,15.909090909090908,15.909090909090908,43.18181818181818,20.454545454545457
Qwen3.6-35B-A3B,63,21.875,25.0,34.375,28.125,25.0,34.375,25.0,28.125,18.75,18.75,21.875,59.375,21.875
Qwen3.6-35B-A3B,64,9.58904109589041,8.21917808219178,12.32876712328767,8.21917808219178,8.21917808219178,9.58904109589041,16.43835616438356,16.43835616438356,15.068493150684931,9.58904109589041,19.17808219178082,27.3972602739726,10.95890410958904
