config,corpus,mode,query,merge,drop_structural,rerank,gold_set,k,recall,cases_with_hit,state_recall,hits,gold,structural,seconds,fusion_w,cite_filter,state_share,pool,two_hop,ls_depth,ls_kinds
rerank_gte,combined,hybrid,rewriter,rrf,True,gte,refex,5,0.023200475907198,0.3766233766233766,0.0,39,1681,0.0,332.9,,,,,,,
rerank_gte,combined,hybrid,rewriter,rrf,True,gte,refex,10,0.0339083878643664,0.5194805194805194,0.0,57,1681,0.0,332.9,,,,,,,
rerank_gte,combined,hybrid,rewriter,rrf,True,gte,refex,20,0.0469958358120166,0.5974025974025974,0.0,79,1681,0.0,332.9,,,,,,,
rerank_gte,combined,hybrid,rewriter,rrf,True,gte,refex,50,0.082093991671624,0.7272727272727273,0.0,138,1681,0.0,332.9,,,,,,,
rerank_gte,combined,hybrid,rewriter,rrf,True,gte,refex,100,0.106484235574063,0.8051948051948052,0.0,179,1681,0.0,332.9,,,,,,,
rerank_gte,combined,hybrid,rewriter,rrf,True,gte,gold,5,0.0197524988100904,0.6666666666666666,0.0190651906519065,83,4202,0.0,332.9,,,,,,,
rerank_gte,combined,hybrid,rewriter,rrf,True,gte,gold,10,0.0345073774393146,0.8765432098765432,0.0387453874538745,145,4202,0.0,332.9,,,,,,,
rerank_gte,combined,hybrid,rewriter,rrf,True,gte,gold,20,0.0499762018086625,0.925925925925926,0.06150061500615,210,4202,0.0,332.9,,,,,,,
rerank_gte,combined,hybrid,rewriter,rrf,True,gte,gold,50,0.09138505473584,0.9753086419753086,0.1162361623616236,384,4202,0.0,332.9,,,,,,,
rerank_gte,combined,hybrid,rewriter,rrf,True,gte,gold,100,0.1294621608757734,0.9753086419753086,0.1734317343173431,544,4202,0.0,332.9,,,,,,,
state_share40,combined,hybrid,rewriter,rrf,True,,refex,5,0.0,0.0,0.0,0,1681,0.0,111.8,,,0.4,,,,
state_share40,combined,hybrid,rewriter,rrf,True,,refex,10,0.0035693039857227,0.0649350649350649,0.0,6,1681,0.0,111.8,,,0.4,,,,
state_share40,combined,hybrid,rewriter,rrf,True,,refex,20,0.0101130279595478,0.1688311688311688,0.0,17,1681,0.0,111.8,,,0.4,,,,
state_share40,combined,hybrid,rewriter,rrf,True,,refex,50,0.0600832837596668,0.6623376623376623,0.0,101,1681,0.0,111.8,,,0.4,,,,
state_share40,combined,hybrid,rewriter,rrf,True,,refex,100,0.0939916716240333,0.7662337662337663,0.0,158,1681,0.0,111.8,,,0.4,,,,
state_share40,combined,hybrid,rewriter,rrf,True,,gold,5,0.0214183722037125,0.5802469135802469,0.052890528905289,90,4202,0.0,111.8,,,0.4,,,,
state_share40,combined,hybrid,rewriter,rrf,True,,gold,10,0.0349833412660637,0.7037037037037037,0.082410824108241,147,4202,0.0,111.8,,,0.4,,,,
state_share40,combined,hybrid,rewriter,rrf,True,,gold,20,0.0544978581627796,0.8024691358024691,0.1236162361623616,229,4202,0.0,111.8,,,0.4,,,,
state_share40,combined,hybrid,rewriter,rrf,True,,gold,50,0.0901951451689671,0.9506172839506172,0.1469864698646986,379,4202,0.0,111.8,,,0.4,,,,
